Pointing RA(Hrs Min Sec),Pointing Dec(Deg Min Sec),pos_x(Km),pos_y(Km),pos_z(Km),vel_x(Km/s),vel_y(Km/s),vel_z(Km/s),DateTime,Spacecraft Roll(Deg),quat0,quat1,quat2,quat3
22 40 12.2,-8 06 28.1,674.83833171624,871.740137911056,7066.92185122695,4.4977540066942,-5.94298685489751,0.318132634039968,2017-10-11T12:57:50.054,-41.95149,-0.3402469754,0.1268670857,-0.136365518,0.9217055841
22 40 27.4,-8 08 8.1,1185.90561208822,183.465408921366,7051.70430536709,4.38218390466702,-6.00946361962947,-0.56459026818024,2017-10-11T12:59:45.054,-41.9427,-0.3402016163,0.1268888116,-0.1357770562,0.9218062056
22 41 48.6,-7 56 9.4,3900.89878860545,-4127.23441703512,4360.33478319678,2.0593517511253,-4.21181131853864,-5.80137545438996,2017-10-11T13:13:00.054,-41.76815,-0.3394990563,0.1240299717,-0.1339119971,0.9227266843
22 41 55.3,-7 50 52.2,4108.65819727257,-4580.3203404439,3662.93331902681,1.55941986937331,-3.66871806121326,-6.30407050929498,2017-10-11T13:14:55.054,-41.76453,-0.3396397829,0.1232383773,-0.1339833885,0.9227705955
22 42 1.7,-7 45 31.0,4257.52749131402,-4967.75423670023,2912.89524152772,1.03669943291547,-3.07250499458045,-6.71679215106019,2017-10-11T13:16:50.054,-41.76096,-0.3397803009,0.1224467009,-0.1340546906,0.9228138992
22 42 7.9,-7 40 9.6,4345.35869969517,-5283.96722100991,2120.98967314197,0.498881233628702,-2.43201254344873,-7.03322999926005,2017-10-11T13:18:45.054,-41.75744,-0.3399206102,0.1216549501,-0.1341259032,0.9228565945
22 42 6.7,-6 55 5.9,3287.51479329933,-5288.4053953808,-3541.46910909912,-2.99739100421071,2.40728714696612,-6.38788499380997,2017-10-11T13:32:00.054,-42.89656,-0.3502464592,0.1170384809,-0.1354154646,0.9193976635
22 41 53.3,-6 49 50.1,2919.73436905087,-4973.56324798665,-4248.47305017994,-3.38499471868709,3.04759020096154,-5.90150539282011,2017-10-11T13:33:55.054,-42.90318,-0.3503809273,0.1165143996,-0.1361326426,0.9193070782
22 41 40.4,-6 44 32.3,2510.16783462429,-4587.54312614009,-4894.52182297353,-3.72384355236093,3.64410031305277,-5.33122841332527,2017-10-11T13:35:50.054,-42.90971,-0.3505150974,0.115990229,-0.1368497014,0.9192157486
22 41 27.2,-6 39 17.9,2064.68958066144,-4135.89741847608,-5470.38384918086,-4.00955224955293,4.1886184309323,-4.68409926179517,2017-10-11T13:37:45.055,-42.91615,-0.3506489694,0.1154659539,-0.137566641,0.9191236767
22 30 38.4,-10 53 42.0,893.6451441463,580.958568286025,7072.81704673605,4.4780175954471,-5.96578686599195,-0.0600192032051273,2017-10-11T18:00:00.054,-40.35561,-0.3196166754,0.153925404,-0.148843959,0.9230371752
22 30 56.8,-10 53 42.8,1400.81665200794,-107.819646037389,7014.1116271042,4.33544477102591,-5.99656811687041,-0.941971945900004,2017-10-11T18:01:55.054,-40.34115,-0.3196023405,0.1536963731,-0.1482436955,0.9231768929
22 31 15.2,-10 53 46.2,1887.93668582887,-795.055160484739,6854.75254760656,4.13074372467192,-5.94111378683278,-1.80959112082003,2017-10-11T18:03:50.054,-40.3267,-0.3195878863,0.1534672976,-0.1476433575,0.9233162029
